	run1	run2	run3	run4	sum
sub-005					
sub-011					
sub-013					
sub-015					
sub-030					
sub-033					
sub-035					
sub-036					
sub-039					
sub-041					
sub-044					
sub-047					
sub-050					
sub-052					
sub-053					
sub-055					
sub-057					
sub-059					
sub-062					
sub-066					
sub-067					
sub-068					
sub-069					
sub-070					
sub-071					
sub-072					
sub-073					
sub-074					
sub-075					
sub-076					
sub-077					
sub-078					
sub-079					
sub-080					
sub-081					
sub-082					
sub-083					
sub-084					
sub-085					
sub-086					
sub-087					
sub-088					
sub-089					
sub-090					
