	Amygdala_L	Amygdala_R	Cerebellum_L	Cerebellum_R	Dorsal_striatum_L	Dorsal_striatum_R	Fusiform_gyrus_L	Fusiform_gyrus_R	Hippocampus_L	Hippocampus_R	Insula_L	Insula_R	Intracalcarine_cortex_L	Intracalcarine_cortex_R	lOFC_R	lOFC_R	mOFC_L	mOFC_R	Oral_somatosensory_cortex_R	Oral_somatosensory_cortex_L	Precuneus_L	Precuneus_R	Ventral_striatum_L	Ventral_striatum_R	vlPFC_L	vlPFC_R	vlThalamus_L	vlThalamus_R	vmPFC_L	vmPFC_R
Amygdala_L	n/a	inf	n/a	n/a	n/a	n/a	n/a	18.36840028483855	18.36840028483855	n/a	inf	18.36840028483855	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-inf	-18.36840028483855	inf	18.36840028483855	18.36840028483855	n/a	n/a	n/a	n/a	-18.36840028483855
Amygdala_R	inf	n/a	inf	inf	inf	inf	inf	18.714973875118524	18.714973875118524	inf	18.714973875118524	18.714973875118524	-inf	-inf	inf	-inf	inf	inf	inf	-inf	-18.714973875118524	-18.714973875118524	18.714973875118524	18.714973875118524	18.16566773078447	inf	inf	inf	-inf	-18.714973875118524
Cerebellum_L	n/a	inf	n/a	n/a	n/a	n/a	n/a	18.36840028483855	18.36840028483855	n/a	18.36840028483855	18.36840028483855	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-18.36840028483855	-18.36840028483855	inf	18.36840028483855	18.36840028483855	n/a	n/a	n/a	n/a	-18.36840028483855
Cerebellum_R	n/a	inf	n/a	n/a	n/a	n/a	n/a	18.36840028483855	18.36840028483855	n/a	18.36840028483855	18.36840028483855	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-18.36840028483855	-18.36840028483855	inf	18.36840028483855	18.36840028483855	n/a	n/a	n/a	n/a	-18.36840028483855
Dorsal_striatum_L	n/a	inf	n/a	n/a	n/a	n/a	n/a	18.36840028483855	18.36840028483855	n/a	18.36840028483855	18.36840028483855	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-inf	-18.36840028483855	inf	18.36840028483855	18.36840028483855	n/a	n/a	n/a	n/a	-18.36840028483855
Dorsal_striatum_R	n/a	inf	n/a	n/a	n/a	n/a	n/a	18.36840028483855	18.36840028483855	n/a	inf	18.36840028483855	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-inf	-18.36840028483855	inf	18.36840028483855	18.36840028483855	n/a	n/a	n/a	n/a	-18.36840028483855
Fusiform_gyrus_L	n/a	inf	n/a	n/a	n/a	n/a	n/a	18.36840028483855	18.36840028483855	n/a	inf	18.36840028483855	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-inf	-18.36840028483855	inf	18.36840028483855	18.36840028483855	n/a	n/a	n/a	n/a	-18.36840028483855
Fusiform_gyrus_R	18.36840028483855	18.36840028483855	18.36840028483855	18.36840028483855	18.36840028483855	18.36840028483855	18.36840028483855	n/a	18.36840028483855	18.36840028483855	inf	18.36840028483855	-18.36840028483855	-18.36840028483855	18.36840028483855	-18.36840028483855	18.36840028483855	18.36840028483855	18.36840028483855	-18.36840028483855	-inf	-inf	18.16566773078447	18.36840028483855	18.36840028483855	18.36840028483855	18.36840028483855	n/a	-18.36840028483855	-18.36840028483855
Hippocampus_L	18.36840028483855	18.36840028483855	18.36840028483855	18.36840028483855	18.36840028483855	18.36840028483855	18.36840028483855	18.36840028483855	n/a	18.36840028483855	inf	18.36840028483855	-18.36840028483855	-inf	18.36840028483855	-inf	18.36840028483855	18.36840028483855	18.36840028483855	-18.36840028483855	-inf	-18.36840028483855	18.36840028483855	18.36840028483855	18.36840028483855	18.36840028483855	18.36840028483855	n/a	-18.36840028483855	-18.36840028483855
Hippocampus_R	n/a	inf	n/a	n/a	n/a	n/a	n/a	18.36840028483855	18.36840028483855	n/a	inf	18.36840028483855	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-18.36840028483855	-18.36840028483855	inf	18.36840028483855	18.36840028483855	n/a	n/a	n/a	n/a	-18.36840028483855
Insula_L	inf	18.36840028483855	18.36840028483855	18.36840028483855	18.36840028483855	inf	inf	inf	inf	inf	n/a	inf	-inf	-inf	inf	-inf	inf	18.36840028483855	inf	-inf	-inf	-inf	18.36840028483855	inf	inf	inf	inf	n/a	-inf	-18.36840028483855
Insula_R	18.36840028483855	18.36840028483855	18.36840028483855	18.36840028483855	18.36840028483855	18.36840028483855	18.36840028483855	18.36840028483855	18.36840028483855	18.36840028483855	inf	n/a	-18.36840028483855	-18.36840028483855	18.36840028483855	-18.36840028483855	18.36840028483855	18.36840028483855	18.36840028483855	-18.36840028483855	-inf	-18.36840028483855	18.36840028483855	18.36840028483855	18.36840028483855	18.36840028483855	18.36840028483855	n/a	-18.36840028483855	-18.36840028483855
Intracalcarine_cortex_L	n/a	-inf	n/a	n/a	n/a	n/a	n/a	-18.36840028483855	-18.36840028483855	n/a	-inf	-18.36840028483855	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	18.36840028483855	18.36840028483855	-inf	-18.36840028483855	-18.36840028483855	n/a	n/a	n/a	n/a	18.36840028483855
Intracalcarine_cortex_R	n/a	-inf	n/a	n/a	n/a	n/a	n/a	-18.36840028483855	-inf	n/a	-inf	-18.36840028483855	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	inf	18.36840028483855	-inf	-18.36840028483855	-18.36840028483855	n/a	n/a	n/a	n/a	18.36840028483855
lOFC_R	n/a	inf	n/a	n/a	n/a	n/a	n/a	18.36840028483855	18.36840028483855	n/a	inf	18.36840028483855	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-inf	-18.36840028483855	n/a	18.36840028483855	18.36840028483855	n/a	n/a	n/a	n/a	-18.36840028483855
lOFC_R	n/a	-inf	n/a	n/a	n/a	n/a	n/a	-18.36840028483855	-inf	n/a	-inf	-18.36840028483855	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	inf	inf	-inf	-inf	-18.36840028483855	n/a	n/a	n/a	n/a	inf
